date,BTC,SOL,solbtc,solbtc_ma180,solbtc_gap,solbtc_gap_lag1,btc_ma200,btc_ma200_gap
2023-11-26,37437.9,57.593,0.0015383608589156978,0.0008623299731634618,0.7839584692530324,0.8154308955541723,29262.283,0.2793909484095962
2023-11-27,37234.3,55.03,0.0014779383525405337,0.0008662907094166301,0.7060535643234522,0.7839584692530324,29313.6725,0.2702024968041792
2023-11-28,37812.1,58.183,0.0015387402445249008,0.0008705934227433402,0.7674613709763083,0.7060535643234522,29368.8075,0.2874918397691155
2023-11-29,37837.1,59.324,0.0015678791450719003,0.0008749686282698382,0.7919261267369351,0.7674613709763083,29424.179500000002,0.28591860989700657
2023-11-30,37716.8,59.309,0.001572482289059517,0.0008793548435995477,0.788222695883182,0.7919261267369351,29478.254,0.27947876424431395
2023-12-01,38660.0,59.75,0.0015455250905328506,0.0008834695753850185,0.749381227824746,0.788222695883182,29535.7915,0.3089203991706131
2023-12-02,39435.0,63.684,0.001614910612400152,0.0008881210311076393,0.8183451982733496,0.749381227824746,29597.8425,0.3323606272991013
2023-12-03,39979.7,63.015,0.001576174908766199,0.0008927184684435236,0.7655901210538396,0.8183451982733496,29660.762000000002,0.3478986143376894
2023-12-04,41993.1,61.671,0.001468598412596355,0.0008969464920818776,0.637331129070623,0.7655901210538396,29736.680999999997,0.41216499581779154
2023-12-05,44081.7,61.061,0.0013851779763484622,0.0009006832151776815,0.5379191629270035,0.637331129070623,29822.738999999998,0.4781237900381987
2023-12-06,43774.8,61.878,0.0014135530030976726,0.0009048874505992918,0.5621312928602338,0.5379191629270035,29906.1655,0.4637383050662247
2023-12-07,43296.0,67.806,0.0015661031042128602,0.000910231234491193,0.7205552225290213,0.5621312928602338,29988.981499999998,0.44373025806161515
2023-12-08,44209.5,74.98,0.0016960155622660288,0.0009163227699910849,0.8508931763013263,0.7205552225290213,30075.827999999998,0.46993459332191967
2023-12-09,43734.3,72.368,0.0016547195222056828,0.0009222582454712782,0.7942040966628752,0.8508931763013263,30158.45,0.45015078692704713
2023-12-10,43810.0,74.907,0.0017098151107053183,0.0009285365908595669,0.841408435097323,0.7942040966628752,30245.931,0.4484592985416782
2023-12-11,41271.0,70.286,0.0017030360301422307,0.0009347958579262125,0.8218266755271169,0.841408435097323,30319.977000000003,0.36118177134501117
2023-12-12,41515.0,68.644,0.0016534746477176925,0.000940775660258983,0.7575652916684865,0.8218266755271169,30394.1025,0.3658899781627043
2023-12-13,42875.0,70.668,0.0016482332361516037,0.0009467037246126536,0.7410232930328682,0.7575652916684865,30474.269500000002,0.40692461881653963
2023-12-14,43032.4,75.751,0.0017603247785389613,0.0009532070485532948,0.8467391541120561,0.7410232930328682,30549.153,0.4086282523119382
2023-12-15,41968.0,72.552,0.0017287457110179187,0.0009595554679232645,0.8016110259466169,0.8467391541120561,30620.382999999998,0.3705903025445503
2023-12-16,42287.4,73.737,0.001743710892606308,0.0009659088168043855,0.8052541422856085,0.8016110259466169,30693.419500000004,0.3777350549032179
2023-12-17,41396.5,70.902,0.001712753493652845,0.0009721580114696603,0.7618056668211675,0.8052541422856085,30764.3965,0.34559766189465146
2023-12-18,42671.7,74.429,0.0017442239235840149,0.0009786580326133947,0.7822608770974513,0.7618056668211675,30843.7285,0.38348059962984027
2023-12-19,42298.3,73.04,0.0017267833459027905,0.0009851606179149004,0.7527937216547897,0.7822608770974513,30919.081000000002,0.36803225167009335
2023-12-20,43708.9,82.243,0.0018816076359734514,0.0009925115951389715,0.8958041852498344,0.7527937216547897,31002.350999999995,0.4098575943482483
2023-12-21,43896.3,93.927,0.0021397475413645344,0.0010013716111084716,1.1368166598970526,0.8958041852498344,31086.3205,0.41207770150861056
2023-12-22,43999.2,97.962,0.002226449571810397,0.0010106496334959855,1.2029885511448524,1.1368166598970526,31177.743,0.41123749721075065
2023-12-23,43725.2,107.965,0.0024691710958440445,0.0010213812871472275,1.4174822144437083,1.2029885511448524,31260.2615,0.39874709621351045
2023-12-24,43008.4,112.571,0.0026174189228150777,0.0010329130751348123,1.5340166426622694,1.4174822144437083,31343.674,0.3721556700723725
2023-12-25,43611.9,120.942,0.0027731421928418615,0.0010453690890316265,1.652787634471525,1.5340166426622694,31429.304,0.387619019498491
2023-12-26,42538.5,112.543,0.0026456739189205073,0.0010567843056688085,1.5035136354018204,1.652787634471525,31509.655999999995,0.3500147383392571
2023-12-27,43453.8,107.095,0.0024645715679641363,0.001067036909043139,1.3097341311035158,1.5035136354018204,31597.792,0.3752163442306349
2023-12-28,42600.1,101.913,0.002392318327891249,0.0010769337524399142,1.221416426471158,1.3097341311035158,31681.243,0.34464736752910863
2023-12-29,42095.1,106.225,0.00252345284843129,0.001087422628155834,1.3205815136575074,1.221416426471158,31762.244499999997,0.32531880736577046
2023-12-30,42174.2,101.971,0.002417852620796601,0.001097421645653309,1.2032120747511073,1.3205815136575074,31843.5255,0.324419935851638
2023-12-31,42314.0,101.778,0.0024053032093396985,0.0011073289388473192,1.172166846685605,1.2032120747511073,31929.516,0.3252314880062699
2024-01-01,44230.2,110.047,0.002488051150571329,0.0011176927527530593,1.2260600191267716,1.172166846685605,32022.7365,0.38121237702468047
2024-01-02,44979.8,106.83,0.0023750661408009814,0.001127244162789141,1.1069669014070151,1.2260600191267716,32115.955499999996,0.400543726622115
2024-01-03,42849.5,98.519,0.0022991866882927457,0.001136081918702906,1.0237860056058161,1.1069669014070151,32197.6585,0.33082658790234687
2024-01-04,44143.8,104.975,0.002378023640918996,0.0011452907560753646,1.0763492836246318,1.0237860056058161,32286.729,0.36724286935353545
2024-01-05,44145.4,99.874,0.0022623874741196136,0.0011539318887418101,0.9605901320453223,1.0763492836246318,32373.3135,0.3636355141712633
2024-01-06,43956.7,93.799,0.0021338954016111313,0.001161896481098493,0.8365624100984284,0.9605901320453223,32451.644,0.3545292189203111
