symbol,ret_m1_14_29,ret_m2_30_59,cum_m2_end_14_59,is_listing_censored
VET,-0.660145451672207,-0.8136227501719662,-1.473768201844173,True
VIC,-0.1345425749966018,0.05003455225698348,-0.0845080227396183,False
VIRTUAL,-1.360759210819719,-0.23587403661634132,-1.5966332474360603,False
VTHO,0.3765559717997572,0.08987035680236302,0.46642632860212024,False
W,0.3063674611170323,-0.09749609698687327,0.20887136413015903,False
WAL,0.3172961148461827,0.4146683921337095,0.7319645069798922,False
WAXP,0.28007969089642387,-0.01663268661547451,0.2634470042809494,False
WCT,-0.1829964096260387,0.5620592745287977,0.3790628649027589,False
WIF,-1.0708852790370036,0.9701171748533907,-0.10076810418361293,False
WLD,-0.062206856880404594,0.20286420875532318,0.14065735187491862,False
WLFI,-0.32034861689374466,-0.21425510858844024,-0.5346037254821849,False
WOO,-0.3956565015034642,-0.3415923763737546,-0.7372488778772188,False
XAI,0.04221807538863091,-0.10114772459201665,-0.05892964920338576,False
XLM,0.1823911907752036,-0.013195464217811717,0.16919572655739187,True
XMR,0.35713614742179944,0.13822237912932409,0.4953585265511235,True
XPL,-0.5459884091129119,-0.1887214775166665,-0.7347098866295785,False
XRP,0.04059041786087611,-0.8192826857096464,-0.7786922678487702,True
XTZ,0.1614257851822701,0.02879295912025518,0.1902187443025253,True
XVG,0.1597380946451934,0.5136214807271918,0.6733595753723852,False
XVS,0.3057667091577199,0.24506003576807078,0.5508267449257906,False
YB,-0.805183930032787,-0.017181983969325014,-0.822365914002112,False
YFI,0.5532507218077585,0.14703403056379444,0.7002847523715529,True
YGG,0.03220223158874441,0.057689249353808716,0.08989148094255313,False
ZBT,0.1266449185989598,0.1352849313877073,0.26192984998666713,False
ZEC,-0.0885232195194182,0.050949835242546426,-0.03757338427687179,True
ZEN,0.38656396003849447,0.2623456763637674,0.6489096364022618,True
ZIL,-0.0595761086805174,0.2553689099138367,0.19579280123331927,True
ZK,0.3783363924436743,-0.025153416587501573,0.3531829758561727,False
ZKC,0.3985522839772414,-0.47991522137258236,-0.08136293739534095,False
ZRO,-0.1810396229856318,0.36787983385332995,0.18684021086769814,False
ZRX,0.4696073175426389,-0.6212764849412973,-0.15166916739865835,True
