mode,idio_th,close_loc_th,volz_th,risk_n,risk_rate,total_bps,maxdd_bps,worst_day_bps,mean_active_day_bps,win_rate_active_day,score_total_dd
skip,20.0,0.7,1.0,386,0.17853839037927843,59638.017110627916,-19202.760226861406,-6543.174522744356,55.16930352509519,0.5032377428307123,54837.327053912566
half,20.0,0.7,1.0,386,0.17853839037927843,83639.79954215042,-20727.018307946924,-6930.833698596435,77.37261752280335,0.5448658649398704,78458.04496516369
skip,20.0,0.7,1.5,250,0.11563367252543941,76940.77659583403,-19058.394798139383,-7360.891577610625,71.17555651788533,0.5208140610545791,72176.17789629918
half,20.0,0.7,1.5,250,0.11563367252543941,92291.17928475348,-20654.83559358587,-7360.891577610625,85.3757440191984,0.545790934320074,87127.47038635702
skip,20.0,0.7,2.0,185,0.08556891766882516,80869.93282766288,-18381.1037623351,-7360.891577610625,74.81029863798601,0.5272895467160037,76274.65688707911
half,20.0,0.7,2.0,185,0.08556891766882516,94255.7574006679,-20316.190075683717,-7360.891577610625,87.19311507924876,0.545790934320074,89176.70988174698
skip,20.0,0.7,2.5,149,0.06891766882516188,91187.18441717725,-19543.774765492097,-7360.891577610625,84.35447217130181,0.5291396854764108,86301.24072580424
half,20.0,0.7,2.5,149,0.06891766882516188,99414.38319542509,-20897.525577262226,-7360.891577610625,91.96520184590665,0.5448658649398704,94190.00180110954
skip,20.0,0.7,3.0,123,0.05689176688251619,96196.6470859903,-18973.160897352216,-7360.891577610625,88.98857269749332,0.5356151711378353,91453.35686165225
half,20.0,0.7,3.0,123,0.05689176688251619,101919.11452983163,-20540.47330562582,-7360.891577610625,94.28225210900241,0.5448658649398704,96783.99620342517
skip,20.0,0.8,1.0,280,0.12950971322849214,71877.71181697678,-21408.280423734344,-6543.174522744356,66.4918703209776,0.5208140610545791,66525.6417110432
half,20.0,0.8,1.0,280,0.12950971322849214,89759.64689532485,-21829.778406383364,-6930.833698596435,83.03390092074454,0.545790934320074,84302.20229372902
skip,20.0,0.8,1.5,185,0.08556891766882516,83540.75631059089,-20683.44882613248,-7360.891577610625,77.28099566197122,0.5319148936170213,78369.89410405778
half,20.0,0.8,1.5,185,0.08556891766882516,95591.16914213191,-21467.362607582407,-7360.891577610625,88.42846359124135,0.545790934320074,90224.32849023631
skip,20.0,0.8,2.0,141,0.06521739130434782,86971.13040522704,-19468.516817183187,-7360.891577610625,80.45432969956248,0.5328399629972248,82104.00120093125
half,20.0,0.8,2.0,141,0.06521739130434782,97306.35618944999,-20859.896603107754,-7360.891577610625,90.01513061003699,0.5448658649398704,92091.38203867305
skip,20.0,0.8,2.5,117,0.05411655874190564,92269.50011804345,-19656.17778989716,-10183.214204984763,85.35568928588663,0.5346901017576319,87355.45567056916
half,20.0,0.8,2.5,117,0.05411655874190564,99955.54104585819,-20953.72708946474,-10183.214204984763,92.46581040319906,0.545790934320074,94717.10927349201
skip,20.0,0.8,3.0,94,0.043478260869565216,95932.84920249274,-19972.450956316898,-10183.214204984763,88.74454135290725,0.5383903792784459,90939.73646341352
half,20.0,0.8,3.0,94,0.043478260869565216,101787.21558808282,-21111.86367267462,-10183.214204984763,94.1602364367094,0.545790934320074,96509.24966991416
