signal_date,value,cum,dd,variant
2026-03-28,476.0630840125404,2273.862253397874,0.0,rank2_skip_FRneg_OIup
2026-03-29,-825.8394464805468,1448.0228069173272,-825.8394464805469,rank2_skip_FRneg_OIup
2026-03-30,589.5529313385857,2037.575738255913,-236.28651514196122,rank2_skip_FRneg_OIup
2026-03-31,114.21027817067554,2151.7860164265885,-122.07623697128565,rank2_skip_FRneg_OIup
2026-04-01,-4250.72808854792,-2098.942072121332,-4372.804325519206,rank2_skip_FRneg_OIup
2026-03-02,-169.5044142556875,-169.5044142556875,0.0,rank2_half_FRneg_OIup
2026-03-03,-709.6544937907433,-879.1589080464308,-709.6544937907433,rank2_half_FRneg_OIup
2026-03-04,-1533.6221579586356,-2412.7810660050664,-2243.2766517493787,rank2_half_FRneg_OIup
2026-03-05,1310.1642968860508,-1102.6167691190155,-933.112354863328,rank2_half_FRneg_OIup
2026-03-06,-375.31672048814687,-1477.9334896071623,-1308.4290753514747,rank2_half_FRneg_OIup
2026-03-07,-494.46702188872723,-1972.4005114958895,-1802.896097240202,rank2_half_FRneg_OIup
2026-03-08,-379.14288272840895,-2351.5433942242985,-2182.038979968611,rank2_half_FRneg_OIup
2026-03-09,-613.1942274044799,-2964.7376216287785,-2795.233207373091,rank2_half_FRneg_OIup
2026-03-10,103.76631623891075,-2860.9713053898677,-2691.46689113418,rank2_half_FRneg_OIup
2026-03-11,-1657.8356758064524,-4518.80698119632,-4349.3025669406325,rank2_half_FRneg_OIup
2026-03-12,954.0374925365838,-3564.7694886597355,-3395.265074404048,rank2_half_FRneg_OIup
2026-03-13,472.7010980221963,-3092.0683906375393,-2922.5639763818517,rank2_half_FRneg_OIup
2026-03-14,192.14433571724268,-2899.924054920297,-2730.4196406646092,rank2_half_FRneg_OIup
2026-03-15,-341.2071767013481,-3241.131231621645,-3071.6268173659573,rank2_half_FRneg_OIup
2026-03-16,141.5935318360261,-3099.5376997856188,-2930.033285529931,rank2_half_FRneg_OIup
2026-03-17,1207.1466868434275,-1892.3910129421913,-1722.886598686504,rank2_half_FRneg_OIup
2026-03-18,246.7692060916277,-1645.6218068505636,-1476.117392594876,rank2_half_FRneg_OIup
2026-03-19,-338.6734363065609,-1984.2952431571246,-1814.7908289014372,rank2_half_FRneg_OIup
2026-03-20,777.2405029602253,-1207.0547401968993,-1037.5503259412117,rank2_half_FRneg_OIup
2026-03-21,346.2753922222877,-860.7793479746116,-691.2749337189241,rank2_half_FRneg_OIup
2026-03-22,-876.2010472457803,-1736.980395220392,-1567.4759809647044,rank2_half_FRneg_OIup
2026-03-23,993.0817220343879,-743.8986731860041,-574.3942589303166,rank2_half_FRneg_OIup
2026-03-24,460.52680095339883,-283.37187223260526,-113.86745797691776,rank2_half_FRneg_OIup
2026-03-25,891.9827581287318,608.6108858961265,0.0,rank2_half_FRneg_OIup
2026-03-26,1167.5317513319833,1776.1426372281098,0.0,rank2_half_FRneg_OIup
2026-03-27,567.9987802046248,2344.1414174327347,0.0,rank2_half_FRneg_OIup
2026-03-28,592.7691916435199,2936.9106090762543,0.0,rank2_half_FRneg_OIup
2026-03-29,-825.8394464805468,2111.0711625957074,-825.8394464805469,rank2_half_FRneg_OIup
2026-03-30,589.5529313385857,2700.6240939342933,-236.286515141961,rank2_half_FRneg_OIup
2026-03-31,114.21027817067554,2814.8343721049687,-122.07623697128565,rank2_half_FRneg_OIup
2026-04-01,-4021.1770068573724,-1206.3426347524037,-4143.253243828658,rank2_half_FRneg_OIup
2026-03-02,-169.5044142556875,-169.5044142556875,0.0,rank2_skip_FRneg_OIsurge5pct
2026-03-03,-709.6544937907433,-879.1589080464308,-709.6544937907433,rank2_skip_FRneg_OIsurge5pct
2026-03-04,-1521.1795928071203,-2400.338500853551,-2230.8340865978635,rank2_skip_FRneg_OIsurge5pct
2026-03-05,1310.1642968860508,-1090.1742039675003,-920.6697897118128,rank2_skip_FRneg_OIsurge5pct
2026-03-06,-319.02709512791694,-1409.2012990954172,-1239.6968848397296,rank2_skip_FRneg_OIsurge5pct
2026-03-07,-494.46702188872723,-1903.6683209841444,-1734.1639067284568,rank2_skip_FRneg_OIsurge5pct
