period,variant,mode,positions,active_days,adjusted_positions,adjusted_rank1,adjusted_rank2,total_bps,mean_active_day_bps,win_rate_active_day,maxdd_bps,worst_day_bps,best_day_bps,delta_total_vs_baseline,dd_improvement_vs_baseline
hist_2026,skip_gap_gt_2pct,skip,284,142,0,0,0,49323.93379834099,347.3516464671901,0.6971830985915493,-6008.99320869903,-3791.6259251668243,3005.811962325711,,
hist_2026,half_gap_gt_2pct,half,284,142,0,0,0,49323.93379834099,347.3516464671901,0.6971830985915493,-6008.99320869903,-3791.6259251668243,3005.811962325711,,
hist_2026,skip_gap_gt_3pct,skip,284,142,0,0,0,49323.93379834099,347.3516464671901,0.6971830985915493,-6008.99320869903,-3791.6259251668243,3005.811962325711,,
hist_2026,half_gap_gt_3pct,half,284,142,0,0,0,49323.93379834099,347.3516464671901,0.6971830985915493,-6008.99320869903,-3791.6259251668243,3005.811962325711,,
hist_2026,skip_gap_gt_5pct,skip,284,142,0,0,0,49323.93379834099,347.3516464671901,0.6971830985915493,-6008.99320869903,-3791.6259251668243,3005.811962325711,,
hist_2026,half_gap_gt_5pct,half,284,142,0,0,0,49323.93379834099,347.3516464671901,0.6971830985915493,-6008.99320869903,-3791.6259251668243,3005.811962325711,,
hist_2026,skip_gap_gt_7.5pct,skip,284,142,0,0,0,49323.93379834099,347.3516464671901,0.6971830985915493,-6008.99320869903,-3791.6259251668243,3005.811962325711,,
hist_2026,half_gap_gt_7.5pct,half,284,142,0,0,0,49323.93379834099,347.3516464671901,0.6971830985915493,-6008.99320869903,-3791.6259251668243,3005.811962325711,,
hist_2026,skip_gap_gt_10pct,skip,284,142,0,0,0,49323.93379834099,347.3516464671901,0.6971830985915493,-6008.99320869903,-3791.6259251668243,3005.811962325711,,
hist_2026,half_gap_gt_10pct,half,284,142,0,0,0,49323.93379834099,347.3516464671901,0.6971830985915493,-6008.99320869903,-3791.6259251668243,3005.811962325711,,
hist_2026,skip_gap_gt_15pct,skip,284,142,0,0,0,49323.93379834099,347.3516464671901,0.6971830985915493,-6008.99320869903,-3791.6259251668243,3005.811962325711,,
hist_2026,half_gap_gt_15pct,half,284,142,0,0,0,49323.93379834099,347.3516464671901,0.6971830985915493,-6008.99320869903,-3791.6259251668243,3005.811962325711,,
hist_2026,skip_gap_gt_3_idio_gt10,skip,284,142,0,0,0,49323.93379834099,347.3516464671901,0.6971830985915493,-6008.99320869903,-3791.6259251668243,3005.811962325711,,
hist_2026,half_gap_gt_3_idio_gt10,half,284,142,0,0,0,49323.93379834099,347.3516464671901,0.6971830985915493,-6008.99320869903,-3791.6259251668243,3005.811962325711,,
hist_2026,skip_gap_gt_5_idio_gt10,skip,284,142,0,0,0,49323.93379834099,347.3516464671901,0.6971830985915493,-6008.99320869903,-3791.6259251668243,3005.811962325711,,
hist_2026,half_gap_gt_5_idio_gt10,half,284,142,0,0,0,49323.93379834099,347.3516464671901,0.6971830985915493,-6008.99320869903,-3791.6259251668243,3005.811962325711,,
hist_2026,skip_gap_gt_7.5_idio_gt10,skip,284,142,0,0,0,49323.93379834099,347.3516464671901,0.6971830985915493,-6008.99320869903,-3791.6259251668243,3005.811962325711,,
hist_2026,half_gap_gt_7.5_idio_gt10,half,284,142,0,0,0,49323.93379834099,347.3516464671901,0.6971830985915493,-6008.99320869903,-3791.6259251668243,3005.811962325711,,
hist_2026,skip_gap_gt_10_idio_gt10,skip,284,142,0,0,0,49323.93379834099,347.3516464671901,0.6971830985915493,-6008.99320869903,-3791.6259251668243,3005.811962325711,,
hist_2026,half_gap_gt_10_idio_gt10,half,284,142,0,0,0,49323.93379834099,347.3516464671901,0.6971830985915493,-6008.99320869903,-3791.6259251668243,3005.811962325711,,
hist_2026,skip_no_pullback_close_loc_ge90,skip,284,142,34,20,14,50041.23815300442,352.4030855845382,0.6830985915492958,-5886.916971727744,-3791.6259251668243,3005.811962325711,,
hist_2026,half_no_pullback_close_loc_ge90,half,284,142,34,20,14,49682.5859756727,349.8773660258641,0.6971830985915493,-5886.916971727744,-3791.6259251668243,3005.811962325711,,
hist_2026,skip_no_pullback_close_loc_ge95,skip,284,142,10,8,2,49469.90925223773,348.37964262139246,0.704225352112676,-6008.99320869903,-3791.6259251668243,3005.811962325711,,
hist_2026,half_no_pullback_close_loc_ge95,half,284,142,10,8,2,49396.92152528936,347.8656445442913,0.6971830985915493,-6008.99320869903,-3791.6259251668243,3005.811962325711,,
hist_2026,skip_no_pullback_idio10_close90,skip,284,142,5,4,1,49776.05375314725,350.5355898108961,0.6971830985915493,-6008.99320869903,-3791.6259251668243,3005.811962325711,,
